# run	81821033
# key	spec	kept	seed	order	x	killer	symm	diff
s117	2x2m2di	0	81821033-117	4	0	0	3	2
s118	2x2m2da	0	81821033-118	4	0	0	3	3
s119	2x2m2de	0	81821033-119	4	0	0	3	4
s120	2x2m2du	0	81821033-120	4	0	0	3	5
s121	2x2md2	0	81821033-121	4	0	0	4	0
s122	2x2md2db	0	81821033-122	4	0	0	4	1
s123	2x2md2di	0	81821033-123	4	0	0	4	2
s124	2x2md2da	0	81821033-124	4	0	0	4	3
s125	2x2md2de	0	81821033-125	4	0	0	4	4
s126	2x2md2du	0	81821033-126	4	0	0	4	5
s127	2x2m4	0	81821033-127	4	0	0	5	0
s128	2x2m4db	0	81821033-128	4	0	0	5	1
s129	2x2m4di	0	81821033-129	4	0	0	5	2
s130	2x2m4da	0	81821033-130	4	0	0	5	3
s131	2x2m4de	0	81821033-131	4	0	0	5	4
s132	2x2m4du	0	81821033-132	4	0	0	5	5
s133	2x2md4	0	81821033-133	4	0	0	6	0
s134	2x2md4db	0	81821033-134	4	0	0	6	1
s135	2x2md4di	0	81821033-135	4	0	0	6	2
s136	2x2md4da	0	81821033-136	4	0	0	6	3
s137	2x2md4de	0	81821033-137	4	0	0	6	4
s138	2x2md4du	0	81821033-138	4	0	0	6	5
s139	2x2m8	0	81821033-139	4	0	0	7	0
s140	2x2m8db	0	81821033-140	4	0	0	7	1
s141	2x2m8di	0	81821033-141	4	0	0	7	2
s142	2x2m8da	0	81821033-142	4	0	0	7	3
s143	2x2m8de	0	81821033-143	4	0	0	7	4
s144	2x2m8du	0	81821033-144	4	0	0	7	5
s145	2x2ka	1	81821033-145	4	0	1	0	0
s146	2x2kadb	1	81821033-146	4	0	1	0	1
s147	2x2kadi	1	81821033-147	4	0	1	0	2
s148	2x2kada	1	81821033-148	4	0	1	0	3
s149	2x2kade	1	81821033-149	4	0	1	0	4
s150	2x2kadu	1	81821033-150	4	0	1	0	5
s151	2x2k	0	81821033-151	4	0	1	1	0
s152	2x2kdb	0	81821033-152	4	0	1	1	1
s153	2x2kdi	0	81821033-153	4	0	1	1	2
s154	2x2kda	0	81821033-154	4	0	1	1	3
s155	2x2kde	0	81821033-155	4	0	1	1	4
s156	2x2kdu	0	81821033-156	4	0	1	1	5
s157	2x2kr4	0	81821033-157	4	0	1	2	0
s158	2x2kr4db	0	81821033-158	4	0	1	2	1
s159	2x2kr4di	0	81821033-159	4	0	1	2	2
s160	2x2kr4da	0	81821033-160	4	0	1	2	3
s161	2x2kr4de	0	81821033-161	4	0	1	2	4
s162	2x2kr4du	0	81821033-162	4	0	1	2	5
s163	2x2km2	0	81821033-163	4	0	1	3	0
s164	2x2km2db	0	81821033-164	4	0	1	3	1
s165	2x2km2di	0	81821033-165	4	0	1	3	2
s166	2x2km2da	0	81821033-166	4	0	1	3	3
s167	2x2km2de	0	81821033-167	4	0	1	3	4
s168	2x2km2du	0	81821033-168	4	0	1	3	5
s169	2x2kmd2	0	81821033-169	4	0	1	4	0
s170	2x2kmd2db	0	81821033-170	4	0	1	4	1
s171	2x2kmd2di	0	81821033-171	4	0	1	4	2
s172	2x2kmd2da	0	81821033-172	4	0	1	4	3
s173	2x2kmd2de	0	81821033-173	4	0	1	4	4
s174	2x2kmd2du	0	81821033-174	4	0	1	4	5
s175	2x2km4	0	81821033-175	4	0	1	5	0
s176	2x2km4db	0	81821033-176	4	0	1	5	1
s177	2x2km4di	0	81821033-177	4	0	1	5	2
s178	2x2km4da	0	81821033-178	4	0	1	5	3
s179	2x2km4de	0	81821033-179	4	0	1	5	4
s180	2x2km4du	0	81821033-180	4	0	1	5	5
s181	2x2kmd4	0	81821033-181	4	0	1	6	0
s182	2x2kmd4db	0	81821033-182	4	0	1	6	1
s183	2x2kmd4di	0	81821033-183	4	0	1	6	2
s184	2x2kmd4da	0	81821033-184	4	0	1	6	3
s185	2x2kmd4de	0	81821033-185	4	0	1	6	4
s186	2x2kmd4du	0	81821033-186	4	0	1	6	5
s187	2x2km8	0	81821033-187	4	0	1	7	0
s188	2x2km8db	0	81821033-188	4	0	1	7	1
s189	2x2km8di	0	81821033-189	4	0	1	7	2
s190	2x2km8da	0	81821033-190	4	0	1	7	3
s191	2x2km8de	0	81821033-191	4	0	1	7	4
s192	2x2km8du	0	81821033-192	4	0	1	7	5
s193	2x2xa	1	81821033-193	4	1	0	0	0
s194	2x2xadb	1	81821033-194	4	1	0	0	1
s195	2x2xadi	1	81821033-195	4	1	0	0	2
s196	2x2xada	1	81821033-196	4	1	0	0	3
s197	2x2xade	1	81821033-197	4	1	0	0	4
s198	2x2xadu	1	81821033-198	4	1	0	0	5
