k85	4ja	cr-4-a-85	ok	0.000	0.000	4	4ja
k86	4ja	cr-4-a-86	ok	0.000	0.000	4	4ja
k87	4ja	cr-4-a-87	ok	0.000	0.000	4	4ja
k88	4ja	cr-4-a-88	ok	0.000	0.000	4	4ja
k89	4ja	cr-4-a-89	ok	0.000	0.000	3	4ja
k90	4ja	cr-4-a-90	ok	0.000	0.000	4	4ja
k91	4ja	cr-4-a-91	ok	0.000	0.000	4	4ja
k92	4ja	cr-4-a-92	ok	0.000	0.000	4	4ja
k93	4ja	cr-4-a-93	ok	0.000	0.000	3	4ja
k94	4ja	cr-4-a-94	ok	0.000	0.000	4	4ja
k95	4ja	cr-4-a-95	ok	0.000	0.000	4	4ja
k96	4ja	cr-4-a-96	ok	0.000	0.000	4	4ja
k97	4ja	cr-4-a-97	ok	0.000	0.000	3	4ja
k98	4ja	cr-4-a-98	ok	0.000	0.000	3	4ja
k99	4ja	cr-4-a-99	ok	0.000	0.000	4	4ja
k100	4ja	cr-4-a-100	ok	0.000	0.000	4	4ja
k101	4ja	cr-4-a-101	ok	0.000	0.000	3	4ja
k102	4ja	cr-4-a-102	ok	0.000	0.000	4	4ja
k103	4ja	cr-4-a-103	ok	0.000	0.000	3	4ja
k104	4ja	cr-4-a-104	ok	0.000	0.000	4	4ja
k105	4ja	cr-4-a-105	ok	0.000	0.000	3	4ja
k106	4ja	cr-4-a-106	ok	0.000	0.000	4	4ja
k107	4ja	cr-4-a-107	ok	0.000	0.000	3	4ja
k108	4ja	cr-4-a-108	ok	0.000	0.000	4	4ja
k109	4ja	cr-4-a-109	ok	0.000	0.000	4	4ja
k110	4ja	cr-4-a-110	ok	0.000	0.000	4	4ja
k111	4ja	cr-4-a-111	ok	0.000	0.000	5	4ja
k112	4ja	cr-4-a-112	ok	0.000	0.000	4	4ja
k113	4ja	cr-4-a-113	ok	0.000	0.000	3	4ja
k114	4ja	cr-4-a-114	ok	0.000	0.000	4	4ja
k115	4ja	cr-4-a-115	ok	0.000	0.000	4	4ja
